Timestamp,What country do you work in?,Where is the closest major city or hub?,Where are you located?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,What degrees do you have?,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity/Stock Option,Compensation - Most recent annual yearly raise (%),Compensation - Sign on Bonus Value,Compensation - Sign on Stock/Equity Options,Compensation - Retirement Benefits (free text),Compensation - Retirement Percent Match (free text),Compensation - Healthcare Benefits (free text),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review,"[Optional] Work Life Balance - On average, how many hours do you work per week",Survey Feedback
2024-01-18T00:42:58Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Consumables R&D & functional manager,7,175000,,,,,0,,,NA,,,,41 - 45,NA
2024-01-18T11:27:54Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Subsidiary,1000-5000,,Bachelors or Equivalent,None,Elisa kit development,3,54000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-18T12:02:13Z,NA,NA,Singapore,Big Pharmaceuticals,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,"Designing, planning and executing lab experiments",3,50000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-18T12:51:35Z,NA,NA,"Carolinas & Southeast (From NC to AR, South FL and LA)",Contract Manufacturing Organization,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,NA,12,127000,,,,,NA,,,NA,,,,51 - 60,NA
2024-01-18T13:44:54Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,10,250000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-18T16:25:05Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Subsidiary,200-1000,,PhD or Equivalent,None,NA,7,95000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-18T19:35:04Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Contract Manufacturing Organization,Prefer not to say,Public,50-200,,"High School or Equivalent, Bachelors or Equivalent",None,Write proposals,2,97000,,,,,0,,,NA,,,,41 - 45,NA
2024-01-19T00:49:20Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Thermo Fisher Scientific,Public,5000+,,Bachelors or Equivalent,None,NA,4,103000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-20T01:15:00Z,NA,NA,West Coast (California & Pacific Northwest),Contract Research Organization,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,SRA mAb downstream and conjugation process development and tech transfer,7,98750,,,,,0,,,NA,,,,30 - 35,NA
2024-01-20T15:13:35Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Regeneron,Private,5000+,,Bachelors or Equivalent,None,Downstream Manufacturing,3,66000,,,,,0,,,NA,,,,41 - 45,"Good, but I just want company compensation mostly for results and hours worked."
2024-01-20T16:14:36Z,NA,NA,Germany,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,"Working with PLC, MES, ERP",2,58000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-20T23:26:29Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Contract Manufacturing Organization,Resilience,Private,1000-5000,,Masters or Equivalent,None,Downstream process development,2,84000,,,,,0,,,NA,,,,41 - 45,NA
2024-01-20T23:34:13Z,NA,NA,"San Diego, CA",Medical/Health Devices,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,7,141000,,,,,20000,,,NA,,,,41 - 45,NA
2024-01-21T07:07:55Z,NA,NA,West Coast (California & Pacific Northwest),Regulatory Affairs,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,3,83500,,,,,0,,,NA,,,,Less than 30,NA
2024-01-21T21:47:38Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,BMS,Public,5000+,,Bachelors or Equivalent,None,NA,2,77000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-22T03:58:59Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Pfizer,Private,5000+,,Masters or Equivalent,None,Sr manager procurement,17,189000,,,,,0,,,NA,,,,Less than 30,"Good, you can add what the percentage of target bonus received annually (80%, 100%, 150%, 200% etc)"
2024-01-22T10:27:59Z,NA,NA,"Midwest (From OH to KS, North to ND)",Industrial Biotech,Prefer not to say,Start-up,1-50,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,NA,0,42000,,,,,0,,,NA,,,,Less than 30,NA
2024-01-22T12:53:59Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,NA,2,85000,,,,,0,,,NA,,,,Less than 30,NA
2024-01-22T14:54:35Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Vertex,Private,1000-5000,,PhD or Equivalent,None,Sr Manager - Analytical,10,160000,,,,,10000,,,NA,,,,41 - 45,NA
2024-01-22T15:53:29Z,NA,NA,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Pfizer,Public,5000+,,Bachelors or Equivalent,None,Individual Contributor Role,10,115000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-22T20:06:50Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Protein engineering,1,141000,,,,,20000,,,NA,,,,36 - 40,NA
2024-01-22T22:15:53Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,NA,2,75000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-22T22:29:24Z,NA,NA,Canada,Industrial Biotech,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,NA,1,60000,,,,,0,,,NA,,,,41 - 45,NA
2024-01-23T17:40:06Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,4,203000,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-24T13:56:24Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Industrial Biotech,Prefer not to say,Public,200-1000,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,NA,2,70000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-24T19:42:28Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,0,110000,,,,,5000,,,NA,,,,36 - 40,NA
2024-01-24T20:47:46Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,8,117000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-24T21:16:14Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",cell therapy,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,2,130000,,,,,10000,,,NA,,,,46 - 50,NA
2024-01-25T04:39:34Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,,"Masters or Equivalent, PhD or Equivalent",None,NA,10,265000,,,,,60000,,,NA,,,,41 - 45,NA
2024-01-25T13:08:58Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Contract Testing Organization,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,Sr. Quality Specialist - Drive Quality improvement initiatives and maintain inspection readiness,7,88000,,,,,4000,,,NA,,,,30 - 35,NA
2024-01-25T14:23:55Z,NA,NA,Sweden,Industrial Biotech,Cytiva,Private,5000+,,Masters or Equivalent,None,"Senior Research Engineer - plan, perform and execute laboratory experiments to either promote current products or develop new products.",7,53600,,,,,NA,,,NA,,,,36 - 40,Nice survey! Maybe clarify currency for salary
2024-01-25T20:09:34Z,NA,NA,Canada,Contract Research Organization,Prefer not to say,Private,1-50,,PhD or Equivalent,None,"Sr. Scientist - Carry out client-based projects on early and late-phase drug candidates (e.g. polymorph/salt screening, crystallization developments). Mentor 2 junior scientists",5,91000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-25T21:11:26Z,NA,NA,"Pharma Central (NY, NJ, PA)",Medical/Health Devices,Siemens Healthineers,Public,5000+,,PhD or Equivalent,None,NA,2,103900,,,,,5000,,,NA,,,,30 - 35,NA
2024-01-25T22:30:35Z,NA,NA,West Coast (California & Pacific Northwest),Contract Manufacturing Organization,AGC Biologics,Private,1000-5000,,Bachelors or Equivalent,None,Upstream Manufacturing,3,89000,,,,,3000,,,NA,,,,36 - 40,NA
2024-01-26T19:29:43Z,NA,NA,West Coast (California & Pacific Northwest),Diagnostics,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,Bioinformatics dev in r&d,6,180500,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-26T19:31:16Z,NA,NA,West Coast (California & Pacific Northwest),Life Sciences Software,Benchling,Start-up,200-1000,,PhD or Equivalent,None,Senior Product Manager,6,205000,,,,,30000,,,NA,,,,51 - 60,NA
2024-01-26T20:59:47Z,NA,NA,Australia,Big Pharmaceuticals,Pfizer,Public,5000+,,"Bachelors or Equivalent, Masters or Equivalent",None,NA,1,75000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-26T21:02:13Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Subsidiary,200-1000,,PhD or Equivalent,None,NA,4,145000,,,,,NA,,,NA,,,,NA,NA
2024-01-27T06:05:43Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,Masters or Equivalent,None,NA,10,140000,,,,,NA,,,NA,,,,NA,NA
2024-01-27T15:40:57Z,NA,NA,West Coast (California & Pacific Northwest),Startup,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,10,180000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-27T23:02:59Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,ASQ CQA,NA,9,150000,,,,,10000,,,NA,,,,46 - 50,NA
2024-01-28T02:07:12Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Application Scientist - LC/MS,6,190000,,,,,15000,,,NA,,,,36 - 40,NA
2024-01-28T16:05:00Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Contract Manufacturing Organization,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,NA,1,58000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-28T19:16:48Z,NA,NA,West Coast (California & Pacific Northwest),Contract Research Organization,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,10,103000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-28T21:03:36Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,"Hit discovery, HTS",1,66300,,,,,5000,,,NA,,,,30 - 35,NA
2024-01-28T21:34:29Z,NA,NA,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Thermo Fisher Scientific,Public,5000+,,Bachelors or Equivalent,"ASQ CSSGB, CQA",NA,5,80000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-29T12:06:11Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Regulatory Affairs,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,1-year post doctoral fellowship in global regulatory affairs supporting company NDA and IND submission,0,115000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-29T12:16:37Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Industrial Biotech,Prefer not to say,Private,1000-5000,,Bachelors or Equivalent,None,NA,2,62000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-29T22:56:01Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,5000+,,Bachelors or Equivalent,None,Stability,6,108000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-30T08:31:03Z,NA,NA,Switzerland,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,12,210000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-30T09:21:52Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Start-up,1-50,,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,NA,4,135000,,,,,0,,,NA,,,,30 - 35,NA
2024-01-30T11:06:04Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Takeda,Public,5000+,,PhD or Equivalent,None,Own medical communications strategy and operations for multiple products in given therapeutic area,8,185000,,,,,21000,,,NA,,,,36 - 40,NA
2024-01-30T12:02:49Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,Upstream PD,2,100000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-30T13:02:51Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,NA,3,93500,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-30T13:09:04Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,NA,4,80000,,,,,0,,,NA,,,,NA,NA
2024-01-30T19:05:06Z,NA,NA,West Coast (California & Pacific Northwest),Academia/Research/Institution,UCSF,Academia/College/Universities,5000+,,PhD or Equivalent,None,"Principal Scientist equivalent - manage 1.5 technicians, half bench half management. Biomarker/drug target",5,140000,,,,,0,,,NA,,,,30 - 35,NA
2024-01-30T20:12:09Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Contract Research Organization,Prefer not to say,Private,1-50,,Bachelors or Equivalent,None,NA,3,80000,,,,,NA,,,NA,,,,51 - 60,NA
2024-01-31T01:46:22Z,NA,NA,Belgium,Big Pharmaceuticals,Pfizer,Public,5000+,,Masters or Equivalent,None,NA,4,75000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-31T13:55:24Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,10,160000,,,,,10000,,,NA,,,,41 - 45,NA
2024-01-31T22:22:24Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,GSK,Public,5000+,,Bachelors or Equivalent,None,NA,8,134640,,,,,NA,,,NA,,,,41 - 45,NA
2024-02-01T08:55:34Z,NA,NA,United Kingdom and Ireland,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,,Masters or Equivalent,None,NA,23,85000,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-01T19:04:21Z,NA,NA,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Public,5000+,,Masters or Equivalent,None,One level below new PhD grad,2,110000,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-01T20:34:57Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,10,190000,,,,,45000,,,NA,,,,NA,NA
2024-02-01T22:23:07Z,NA,NA,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Eli Lilly,Public,5000+,,Masters or Equivalent,None,NA,10,128000,,,,,NA,,,NA,,,,46 - 50,NA
2024-02-02T00:26:12Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Chemical,Prefer not to say,Public,50-200,,Bachelors or Equivalent,None,NA,3,82000,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-02T01:41:43Z,NA,NA,Canada,Biotech Equipment,STEMCELL,Private,1000-5000,,Masters or Equivalent,None,NA,1,62000,,,,,NA,,,NA,,,,Less than 30,NA
2024-02-02T07:01:22Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Pfizer,Public,5000+,,Bachelors or Equivalent,None,NA,3,96890,,,,,5000,,,NA,,,,36 - 40,NA
2024-02-02T09:31:14Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,NA,8,150000,,,,,5000,,,NA,,,,41 - 45,NA
2024-02-02T09:38:05Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,Manage analytical development activities. 1x direct report.,8,170000,,,,,NA,,,NA,,,,46 - 50,NA
2024-02-02T14:20:11Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Ultragenyx,Private,1000-5000,,Masters or Equivalent,None,"Research Associate II, Contract - Conduct in vivo pharmacological and toxicological studies on rodent models",7,72000,,,,,0,,,NA,,,,36 - 40,NA
2024-02-02T17:57:50Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,"Individual contributor- lot disposition, quality systems",8,109000,,,,,0,,,NA,,,,36 - 40,NA
2024-02-02T20:30:42Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,200-1000,,Bachelors or Equivalent,CCRP,Senior Reg Manager handling global regulatory strategy,8,171000,,,,,10000,,,NA,,,,36 - 40,NA
2024-02-04T16:23:08Z,NA,NA,West Coast (California & Pacific Northwest),Food,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,NA,8,152250,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-04T22:44:30Z,NA,NA,West Coast (California & Pacific Northwest),Contract Research Organization,Prefer not to say,Private,200-1000,,Bachelors or Equivalent,None,NA,1,77000,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-05T09:37:41Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,"Principal Scientist, med chem. Lead a drug discovery project",11,205000,,,,,50000,,,NA,,,,36 - 40,NA
2024-02-05T11:57:17Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PharmD or Equivalent,None,PV,20,250000,,,,,0,,,NA,,,,36 - 40,NA
2024-02-05T20:26:43Z,NA,NA,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,Analytical Development,14,162500,,,,,0,,,NA,,,,36 - 40,NA
2024-02-05T21:32:26Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Contract Research Organization,Thermo Fisher Scientific,Public,200-1000,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,NA,1,42640,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-05T23:24:53Z,NA,NA,West Coast (California & Pacific Northwest),Dx and Tx,Prefer not to say,Public,50-200,,Bachelors or Equivalent,None,Sr manager running a Dx assay development group with 3 reports,15,175000,,,,,NA,,,NA,,,,41 - 45,Cool survey
2024-02-06T10:53:08Z,NA,NA,West Coast (California & Pacific Northwest),Contract Research Organization,Bioagilytix,Private,1000-5000,,Bachelors or Equivalent,None,I am a study director/PI for bioanalytical projects for a CRO. I manage four junior scientists.,6,139000,,,,,NA,,,NA,,,,NA,NA
2024-02-06T11:50:06Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Regeneron,Public,5000+,,Bachelors or Equivalent,None,Investigations scientist,6,93000,,,,,0,,,NA,,,,36 - 40,NA
2024-02-07T08:13:02Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Flagship Co,Private,50-200,,Masters or Equivalent,None,Purification Development,14,192000,,,,,10000,,,NA,,,,51 - 60,NA
2024-02-07T13:42:35Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Biotech Equipment,PhenomeX,Public,200-1000,,Masters or Equivalent,None,NA,7,92000,,,,,NA,,,NA,,,,41 - 45,NA
2024-02-07T22:36:35Z,NA,NA,West Coast (California & Pacific Northwest),Small biotech,Prefer not to say,Private,50-200,,PharmD or Equivalent,None,NA,2,100000,,,,,0,,,NA,,,,41 - 45,"Survey categories need to be improved, how is medical affairs not an option but regulatory is? Clinical dev as an option? Sales?"
2024-02-08T00:00:04Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Contract Manufacturing Organization,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,3,77000,,,,,8000,,,NA,,,,36 - 40,NA
2024-02-08T07:35:29Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,15,300000,,,,,NA,,,NA,,,,46 - 50,NA
2024-02-08T11:35:04Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,"Computational Chemistry, ML/AI",6,265000,,,,,260000,,,NA,,,,46 - 50,NA
2024-02-08T14:32:05Z,NA,NA,West Coast (California & Pacific Northwest),Animal Health,Prefer not to say,Start-up,1-50,,Masters or Equivalent,None,NA,1,135000,,,,,NA,,,NA,,,,30 - 35,NA
2024-02-09T11:44:34Z,NA,NA,"Carolinas & Southeast (From NC to AR, South FL and LA)",Plant construction,Prefer not to say,Private,5000+,,Bachelors or Equivalent,None,I develop funding estimates for different pharmaceutical manufacturing facilities.,10,202000,,,,,10000,,,NA,,,,41 - 45,NA
2024-02-09T16:11:31Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,Software and Hardware Engineering,12,160000,,,,,NA,,,NA,,,,36 - 40,"Survey needs to focus on location, role, and base compensation; it does a bad job at those three so any of the additional info collected is pretty meaningless."
2024-02-10T14:43:54Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,Sr. Research Associate - Formulation and characterization of LNP for platform research,5,89900,,,,,0,,,NA,,,,36 - 40,NA
2024-02-10T22:56:16Z,NA,NA,West Coast (California & Pacific Northwest),Medical/Health Devices,Abbott,Public,5000+,,Bachelors or Equivalent,None,Manufacturing chemist of assays to detect substances of abuse. Oversees 2 other chemists.,7,79000,,,,,NA,,,NA,,,,41 - 45,NA
2024-02-11T19:51:17Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Alnylam Pharmaceuticals,Public,1000-5000,,PhD or Equivalent,None,NA,1,140000,,,,,30000,,,NA,,,,Less than 30,NA
2024-02-12T11:57:51Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,"Preclinical biology, ranging from new target identification to design and execution of IND-enabling biology studies; Investigator level more involved in strategic discussions and leading biology efforts",6,135000,,,,,NA,,,NA,,,,46 - 50,NA
2024-02-12T18:15:11Z,NA,NA,West Coast (California & Pacific Northwest),Regulatory Affairs,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,medical writing supporting clinical and regulatory submission documents,17,181000,,,,,0,,,NA,,,,41 - 45,NA
2024-02-12T23:01:48Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Vertex,Public,1000-5000,,PhD or Equivalent,None,Scientist I - Biology,3,120000,,,,,NA,,,NA,,,,51 - 60,NA
2024-02-13T01:09:19Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,"Senior Research Associate, Strain Engineering -",7,113000,,,,,NA,,,NA,,,,41 - 45,NA
2024-02-13T01:10:21Z,NA,NA,Canada,Big Pharmaceuticals,GSK,Public,5000+,,PhD or Equivalent,None,NA,2,120000,,,,,NA,,,NA,,,,NA,NA
2024-02-13T14:00:30Z,NA,NA,United Kingdom and Ireland,Academia/Research/Institution,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,"Associate Dir of Clinical Pharmacology,  Clin Pharm lead for all development projects",7,86300,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-13T19:24:30Z,NA,NA,Canada,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,4,116500,,,,,NA,,,NA,,,,Less than 30,NA
2024-02-13T19:30:42Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,Senior Scientist,10,145000,,,,,NA,,,NA,,,,46 - 50,NA
2024-02-13T19:40:23Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Start-up,1000-5000,,Bachelors or Equivalent,None,"Sample management - store, ship and retrieve samples from storage for testing",3,83200,,,,,NA,,,NA,,,,36 - 40,NA
2024-02-13T21:23:39Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,50-200,,"Bachelors or Equivalent, Masters or Equivalent",None,NA,7,115000,,,,,10000,,,NA,,,,36 - 40,NA
2024-02-13T22:56:39Z,NA,NA,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Public,200-1000,,Masters or Equivalent,None,Outsourcing Clinical Operations,17,169000,,,,,20000,,,NA,,,,36 - 40,NA
2024-02-14T15:48:02Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,Policy/gov’t relations,15,230000,,,,,325000,,,NA,,,,41 - 45,NA
2024-02-14T16:40:08Z,NA,NA,Canada,Big Pharmaceuticals,Gilead,Public,5000+,,Masters or Equivalent,None,NA,10,103000,,,,,0,,,NA,,,,41 - 45,NA
2024-02-14T17:23:53Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,7,212000,,,,,49000,,,NA,,,,Less than 30,NA
2024-02-14T20:27:32Z,NA,NA,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Private,200-1000,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,NA,3,90000,,,,,NA,,,NA,,,,30 - 35,NA
2024-02-15T16:43:17Z,NA,NA,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Private,1000-5000,,PhD or Equivalent,None,application scientist - technical support for biotech company. answering scientists questions,1,100000,,,,,10000,,,NA,,,,36 - 40,NA
2024-02-15T16:56:39Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,NA,5,163000,,,,,NA,,,NA,,,,NA,NA
2024-02-15T19:29:53Z,NA,NA,United Kingdom and Ireland,Big Pharmaceuticals,Prefer not to say,Public,5000+,,"Bachelors or Equivalent, Masters or Equivalent",None,NA,8,90000,,,,,8000,,,NA,,,,41 - 45,NA
2024-02-16T03:49:01Z,NA,NA,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,6,100000,,,,,NA,,,NA,,,,41 - 45,NA
